idMiscellaneous,subject,reading,createdat
644,speedreading,1740508560:W0:11946:3:200:0~1740508560:BV:792~,"2025-02-25 18:36:16"
878,speedreading,1740508822:BV:2633,"2025-02-25 18:40:23"
654,getconfigrun,success,"2025-02-25 18:46:05"
654,speedreading,1740509160:W1:5753:0~1740509160:BV:442~,"2025-02-25 18:46:06"
654,getconfigrun,success,"2025-02-25 18:50:05"
654,speedreading,1740509400:W0:5202:0:200:0~1740509400:BV:444~,"2025-02-25 18:50:05"
860,speedreading,1740509722:BV:2598,"2025-02-25 18:55:24"
878,speedreading,1740512423:BV:2625,"2025-02-25 19:40:24"
860,speedreading,1740513322:BV:2567,"2025-02-25 19:55:25"
647,getconfigrun,success,"2025-02-25 20:00:18"
647,speedreading,1740513600:W1:5827:0~1740513600:BV:441~,"2025-02-25 20:00:18"
647,getconfigrun,success,"2025-02-25 20:04:17"
647,speedreading,1740513840:W0:4910:0:201:0~1740513840:BV:441~,"2025-02-25 20:04:17"
875,speedreading,1740516069:BV:2620,"2025-02-25 20:41:13"
860,speedreading,1740516923:BV:2563,"2025-02-25 20:55:26"
872,speedreading,1740519622:BV:2601,"2025-02-25 21:40:24"
875,speedreading,1740519645:BV:2617,"2025-02-25 21:40:48"
860,speedreading,1740520522:BV:2561,"2025-02-25 21:55:26"
872,speedreading,1740523224:BV:26623,"2025-02-25 22:40:27"
878,speedreading,1740523223:BV:2621,"2025-02-25 22:40:27"
875,speedreading,1740523248:BV:2616,"2025-02-25 22:40:52"
860,speedreading,1740524121:BV:2561,"2025-02-25 22:55:25"
878,speedreading,1740526822:BV:2620,"2025-02-25 23:40:24"
872,speedreading,1740526823:BV:2601,"2025-02-25 23:40:26"
875,speedreading,1740526847:BV:2615,"2025-02-25 23:40:50"
860,speedreading,1740527724:BV:28671,"2025-02-25 23:55:26"
875,speedreading,1740530468:BV:2614,"2025-02-26 00:41:10"
860,speedreading,1740531323:BV:2559,"2025-02-26 00:55:26"
872,speedreading,1740534022:BV:2601,"2025-02-26 01:40:25"
875,speedreading,1740534047:BV:2613,"2025-02-26 01:40:49"
860,speedreading,1740534922:BV:2557,"2025-02-26 01:55:24"
875,speedreading,1740537667:BV:2612,"2025-02-26 02:41:11"
860,speedreading,1740538523:BV:2558,"2025-02-26 02:55:26"
872,speedreading,1740541223:BV:2600,"2025-02-26 03:40:26"
875,speedreading,1740541247:BV:2610,"2025-02-26 03:40:49"
860,speedreading,1740542123:BV:2557,"2025-02-26 03:55:25"
878,speedreading,1740544822:BV:2610,"2025-02-26 04:40:24"
872,speedreading,1740544824:BV:32767,"2025-02-26 04:40:26"
875,speedreading,1740544848:BV:2608,"2025-02-26 04:40:50"
860,speedreading,1740545722:BV:2557,"2025-02-26 04:55:25"
872,speedreading,1740548422:BV:2599,"2025-02-26 05:40:25"
878,speedreading,1740548423:BV:2606,"2025-02-26 05:40:26"
875,speedreading,1740548447:BV:2605,"2025-02-26 05:40:49"
860,speedreading,1740549323:BV:2557,"2025-02-26 05:55:25"
636,getconfigrun,success,"2025-02-26 06:30:09"
636,speedreading,1740551400:W1:15519:0~1740551400:BV:456~,"2025-02-26 06:30:10"
636,getconfigrun,success,"2025-02-26 06:34:02"
636,speedreading,1740551640:W0:7901:178:200:0~1740551640:BV:456~,"2025-02-26 06:34:02"
638,getconfigrun,success,"2025-02-26 06:40:24"
638,speedreading,1740552000:W1:11958:0~1740552000:BV:806~,"2025-02-26 06:40:24"
638,getconfigrun,success,"2025-02-26 06:44:20"
638,speedreading,1740552240:W0:7741:48:200:0~1740552240:BV:804~,"2025-02-26 06:44:20"
860,speedreading,1740552921:BV:2556,"2025-02-26 06:55:24"
650,getconfigrun,success,"2025-02-26 07:00:11"
650,speedreading,1740553200:W1:5869:0~1740553200:BV:819~,"2025-02-26 07:00:11"
50024,speedreading,"{"Datetime": [14, "02", "07", "WED", 26, 2, 2025], "Data": [{"ar": "0", "BOFR": "0", "VN": "B", "AOFR": "0", "A1": "LO", "NN": "A", "F1": "0", "F2": "0", "ACR": "B"}]}","2025-02-26 07:02:17"
64,getconfigrun,success,"2025-02-26 07:10:13"
64,speedreading,1740469200:E1:125882~1740469200:W0:125816:0:200:0~1740469200:BV:336~1740553800:W1:9091:0~1740553800:BV:337~,"2025-02-26 07:10:13"
50024,speedreading,"{"Datetime": [33, 21, "07", "WED", 26, 2, 2025], "Data": [{"ar": "0", "BCFR": "0", "VN": "B", "ACFR": "0", "A1": "LC", "NN": "A", "F1": "7", "F2": "0", "ACR": "b"}]}","2025-02-26 07:21:38"
113,getconfigrun,success,"2025-02-26 07:30:06"
113,speedreading,1740555000:W1:5648:2~1740555000:BV:447~,"2025-02-26 07:30:07"
650,getconfigrun,success,"2025-02-26 07:30:10"
650,speedreading,1740555000:W0:5030:0:200:0~1740555000:BV:820~,"2025-02-26 07:30:10"
50024,speedreading,"{"Datetime": [13, 32, "07", "WED", 26, 2, 2025], "Data": [{"ar": "0", "BOFR": "0", "VN": "C", "AOFR": "0", "A1": "LO", "NN": "A", "F1": "0", "F2": "0", "ACR": "C"}]}","2025-02-26 07:32:17"
101,getconfigrun,success,"2025-02-26 07:35:04"
101,speedreading,1740555300:W1:7275:0~1740555300:BV:427~,"2025-02-26 07:35:05"
113,getconfigrun,success,"2025-02-26 07:40:05"
113,speedreading,1740555600:W0:4810:59:200:0~1740555600:BV:448~,"2025-02-26 07:40:06"
64,getconfigrun,success,"2025-02-26 07:40:13"
64,speedreading,1740555600:W0:9431:0:200:0~1740555600:BV:339~,"2025-02-26 07:40:13"
101,getconfigrun,success,"2025-02-26 07:41:03"
101,speedreading,1740555660:W0:5736:297:200:0~1740555660:BV:427~,"2025-02-26 07:41:03"
651,getconfigrun,success,"2025-02-26 07:45:10"
