idMiscellaneous,subject,reading,createdat
524,getconfigrun,success,"2025-02-01 18:04:17"
524,speedreading,1738433040:W0:8990:7:201:0~1738433040:BV:408~,"2025-02-01 18:04:17"
647,getconfigrun,success,"2025-02-01 18:10:17"
647,speedreading,1738433400:W1:5816:0~1738433400:BV:444~,"2025-02-01 18:10:17"
647,getconfigrun,success,"2025-02-01 18:14:16"
647,speedreading,1738433640:W0:5010:0:200:0~1738433640:BV:430~,"2025-02-01 18:14:16"
53,getconfigrun,success,"2025-02-01 18:21:12"
53,speedreading,1738434060:W0:7277:147:200:0~1738434060:BV:459~,"2025-02-01 18:21:12"
644,getconfigrun,success,"2025-02-01 18:30:17"
644,speedreading,1738434600:W1:13493:0~1738434600:BV:796~,"2025-02-01 18:30:17"
644,getconfigrun,success,"2025-02-01 18:36:15"
644,speedreading,1738434960:W0:11726:5:200:0~1738434960:BV:794~,"2025-02-01 18:36:16"
848,speedreading,1738435822:BV:2619,"2025-02-01 18:50:26"
860,speedreading,1738436122:BV:2597,"2025-02-01 18:55:25"
848,speedreading,1738439423:BV:2619,"2025-02-01 19:50:26"
860,speedreading,1738439721:BV:2569,"2025-02-01 19:55:23"
101,getconfigrun,success,"2025-02-01 20:00:05"
101,speedreading,1738440000:W1:6388:0~1738440000:BV:428~,"2025-02-01 20:00:05"
101,getconfigrun,success,"2025-02-01 20:04:03"
101,speedreading,1738440240:W0:4968:265:200:0~1738440240:BV:428~,"2025-02-01 20:04:03"
860,speedreading,1738443322:BV:2563,"2025-02-01 20:55:25"
848,speedreading,1738446622:BV:2618,"2025-02-01 21:50:26"
860,speedreading,1738446921:BV:2563,"2025-02-01 21:55:24"
848,speedreading,1738450223:BV:2618,"2025-02-01 22:50:27"
860,speedreading,1738450522:BV:2562,"2025-02-01 22:55:24"
860,speedreading,1738454124:BV:26623,"2025-02-01 23:55:26"
848,speedreading,1738457423:BV:2617,"2025-02-02 00:50:25"
860,speedreading,1738457723:BV:2561,"2025-02-02 00:55:25"
848,speedreading,1738461023:BV:2618,"2025-02-02 01:50:26"
860,speedreading,1738461321:BV:2559,"2025-02-02 01:55:25"
848,speedreading,1738464623:BV:2617,"2025-02-02 02:50:25"
860,speedreading,1738464922:BV:2558,"2025-02-02 02:55:25"
848,speedreading,1738468223:BV:2617,"2025-02-02 03:50:25"
860,speedreading,1738468522:BV:2558,"2025-02-02 03:55:26"
848,speedreading,1738471823:BV:2617,"2025-02-02 04:50:25"
860,speedreading,1738472122:BV:2558,"2025-02-02 04:55:25"
848,speedreading,1738475422:BV:2617,"2025-02-02 05:50:25"
860,speedreading,1738475721:BV:2559,"2025-02-02 05:55:24"
636,getconfigrun,success,"2025-02-02 06:30:06"
636,speedreading,1738477800:W1:11702:0~1738477800:BV:457~,"2025-02-02 06:30:06"
636,getconfigrun,success,"2025-02-02 06:34:03"
636,speedreading,1738478040:W0:8682:184:200:0~1738478040:BV:456~,"2025-02-02 06:34:04"
638,getconfigrun,success,"2025-02-02 06:40:22"
638,speedreading,1738478400:W1:11411:0~1738478400:BV:810~,"2025-02-02 06:40:22"
638,getconfigrun,success,"2025-02-02 06:44:18"
638,speedreading,1738478640:W0:7648:49:200:0~1738478640:BV:808~,"2025-02-02 06:44:18"
860,speedreading,1738479322:BV:2556,"2025-02-02 06:55:25"
50024,speedreading,"{"Datetime": [14, "02", "07", "SUN", 2, 2, 2025], "Data": [{"ar": "0", "BOFR": "0", "VN": "B", "AOFR": "0", "A1": "LO", "NN": "A", "F1": "0", "F2": "0", "ACR": "B"}]}","2025-02-02 07:02:17"
64,getconfigrun,success,"2025-02-02 07:10:30"
64,speedreading,1738480200:W1:6031:0~1738480200:BV:336~,"2025-02-02 07:10:30"
50024,speedreading,"{"Datetime": [34, 21, "07", "SUN", 2, 2, 2025], "Data": [{"ar": "0", "BCFR": "0", "VN": "B", "ACFR": "0", "A1": "LC", "NN": "A", "F1": "59", "F2": "0", "ACR": "b"}]}","2025-02-02 07:21:38"
650,getconfigrun,success,"2025-02-02 07:30:12"
650,speedreading,1738479600:E1:126678~1738479600:W1:126619:0~1738479600:BV:806~1738481400:W0:7691:0:201:0~1738481400:BV:810~,"2025-02-02 07:30:12"
50024,speedreading,"{"Datetime": [13, 32, "07", "SUN", 2, 2, 2025], "Data": [{"ar": "0", "BOFR": "0", "VN": "C", "AOFR": "0", "A1": "LO", "NN": "A", "F1": "0", "F2": "0", "ACR": "C"}]}","2025-02-02 07:32:16"
531,getconfigrun,success,"2025-02-02 07:35:55"
531,speedreading,1738481760:W1:23321:0~1738481760:BV:397~,"2025-02-02 07:35:56"
64,getconfigrun,success,"2025-02-02 07:40:32"
64,speedreading,1738482000:W0:8871:0:200:0~1738482000:BV:340~,"2025-02-02 07:40:33"
651,getconfigrun,success,"2025-02-02 07:45:09"
651,speedreading,1738482300:W1:5669:0~1738482300:BV:835~,"2025-02-02 07:45:09"
848,speedreading,1738482622:BV:2616,"2025-02-02 07:50:24"
50024,speedreading,"{"Datetime": [34, 51, "07", "SUN", 2, 2, 2025], "Data": [{"ar": "0", "BCFR": "0", "VN": "C", "ACFR": "0", "A1": "LC", "NN": "A", "F1": "94", "F2": "0", "ACR": "c"}]}","2025-02-02 07:51:38"
860,speedreading,1738482923:BV:2567,"2025-02-02 07:55:26"
50024,speedreading,"{"Datetime": [14, "02", "08", "SUN", 2, 2, 2025], "Data": [{"ar": "0", "BOFR": "0", "VN": "A", "AOFR": "0", "A1": "LO", "NN": "A", "F1": "26623", "F2": "0", "ACR": "A"}]}","2025-02-02 08:02:18"
531,getconfigrun,success,"2025-02-02 08:07:38"
531,speedreading,1738483680:W0:6196:29:200:0~1738483680:BV:398~,"2025-02-02 08:07:39"
651,getconfigrun,success,"2025-02-02 08:15:10"
651,speedreading,1738484100:W0:6917:116:1201:2~1738484100:BV:834~,"2025-02-02 08:15:11"
50024,speedreading,"{"Datetime": [34, 21, "08", "SUN", 2, 2, 2025], "Data": [{"ar": "0", "BCFR": "0", "VN": "A", "ACFR": "0", "A1": "LC", "NN": "A", "F1": "121", "F2": "0", "ACR": "a"}]}","2025-02-02 08:21:37"
652,getconfigrun,success,"2025-02-02 08:29:38"
652,speedreading,1738485000:W1:5657:6~1738485000:BV:817~,"2025-02-02 08:29:39"
106,getconfigrun,success,"2025-02-02 08:30:05"
106,speedreading,1738485000:W1:6261:0~1738485000:BV:451~,"2025-02-02 08:30:05"
50024,speedreading,"{"Datetime": [14, 32, "08", "SUN", 2, 2, 2025], "Data": [{"ar": "0", "BOFR": "0", "VN": "D", "AOFR": "0", "A1": "LO", "NN": "A", "F1": "0", "F2": "0", "ACR": "D"}]}","2025-02-02 08:32:18"
106,getconfigrun,success,"2025-02-02 08:36:04"
106,speedreading,1738485360:W0:5847:146:200:0~1738485360:BV:452~,"2025-02-02 08:36:05"
652,getconfigrun,success,"2025-02-02 08:49:38"
652,speedreading,1738486200:W0:5047:43:400:0~1738486200:BV:819~,"2025-02-02 08:49:38"
612,getconfigrun,success,"2025-02-02 08:51:33"
612,speedreading,1738486260:W1:8506:0~1738486260:BV:532~,"2025-02-02 08:51:33"
50024,speedreading,"{"Datetime": [33, 51, "08", "SUN", 2, 2, 2025], "Data": [{"ar": "0", "BCFR": "0", "VN": "D", "ACFR": "0", "A1": "LC", "NN": "A", "F1": "150", "F2": "0", "ACR": "d"}]}","2025-02-02 08:51:38"
860,speedreading,1738486523:BV:2579,"2025-02-02 08:55:26"
612,getconfigrun,success,"2025-02-02 08:55:30"
612,speedreading,1738486500:W0:5168:94:200:0~1738486500:BV:534~,"2025-02-02 08:55:30"
50019,speedreading,"{"Datetime": [40, "00", 10, "SAT", 1, 2, 2025], "Data": [{"BOFR": "0", "ar": "0", "AOFR": "0", "F2": 1362, "F1": 0, "NN": "A", "BV": 9.09, "ACR": "OK", "A1": "LO", "VN": "B"}]}","2025-02-02 09:15:34"
50019,speedreading,"{"Datetime": [41, 30, 10, "SAT", 1, 2, 2025], "Data": [{"ACR": "OK", "ACFR": "0", "VN": "B", "F2": 28, "F1": 0, "BV": 9.06, "NN": "A", "ar": "0", "BCFR": "0", "A1": "LC"}]}","2025-02-02 09:15:39"
50019,speedreading,"{"Datetime": [32, 15, "09", "FRI", 2, 2, 2025], "Data": [{"ar": "0", "BOFR": "0", "AOFR": "0", "F2": 1410, "F1": 0, "BV": 8.99, "NN": "A", "A1": "LO", "ACR": "OK", "VN": "A"}]}","2025-02-02 09:15:43"
50019,speedreading,"{"Datetime": [46, 45, "09", "FRI", 2, 2, 2025], "Data": [{"ar": "0", "BCFR": "0", "ACFR": "0", "F2": 26, "F1": 0, "BV": 8.985001, "NN": "A", "A1": "LC", "ACR": "OK", "VN": "A"}]}","2025-02-02 09:45:48"
860,speedreading,1738490122:BV:2600,"2025-02-02 09:55:25"
542,getconfigrun,success,"2025-02-02 10:00:02"
542,speedreading,1738490400:W1:5670:0~1738490400:BV:745~,"2025-02-02 10:00:03"
609,getconfigrun,success,"2025-02-02 10:05:21"
609,speedreading,1738490700:W1:5576:0~1738490700:BV:528~,"2025-02-02 10:05:22"
542,getconfigrun,success,"2025-02-02 10:13:02"
542,speedreading,1738491180:W0:4978:1:200:0~1738491180:BV:744~,"2025-02-02 10:13:02"
110,getconfigrun,success,"2025-02-02 10:14:06"
110,speedreading,1738491240:W1:5969:0~1738491240:BV:449~,"2025-02-02 10:14:06"
110,getconfigrun,success,"2025-02-02 10:18:05"
110,speedreading,1738491480:W0:4784:0:200:0~1738491480:BV:451~,"2025-02-02 10:18:05"
609,getconfigrun,success,"2025-02-02 10:27:21"
609,speedreading,1738492020:W0:4949:7:200:0~1738492020:BV:529~,"2025-02-02 10:27:21"
50019,speedreading,"{"Datetime": [40, "00", 10, "FRI", 2, 2, 2025], "Data": [{"BOFR": "0", "ACR": "OK", "VN": "B", "F2": 1418, "F1": 0, "A1": "LO", "BV": 8.96, "NN": "A", "ar": "0", "AOFR": "0"}]}","2025-02-02 10:30:45"
50019,speedreading,"{"Datetime": [43, 30, 10, "FRI", 2, 2, 2025], "Data": [{"ar": "0", "BCFR": "0", "ACFR": "0", "F2": 28, "F1": 0, "BV": 9.0, "NN": "A", "A1": "LC", "ACR": "OK", "VN": "B"}]}","2025-02-02 10:30:50"
860,speedreading,1738493723:BV:2622,"2025-02-02 10:55:26"
539,getconfigrun,success,"2025-02-02 11:00:13"
539,speedreading,1738494000:W1:5675:0~1738494000:BV:500~,"2025-02-02 11:00:13"
539,getconfigrun,success,"2025-02-02 11:25:12"
539,speedreading,1738495500:W0:4925:1:200:0~1738495500:BV:490~,"2025-02-02 11:25:12"
860,speedreading,1738497322:BV:3300,"2025-02-02 11:55:25"
610,getconfigrun,success,"2025-02-02 12:03:26"
610,speedreading,1738497780:W1:13453:0~1738497780:BV:523~,"2025-02-02 12:03:27"
610,getconfigrun,success,"2025-02-02 12:07:18"
610,speedreading,1738498020:W0:5063:0:201:0~1738498020:BV:525~,"2025-02-02 12:07:18"
860,speedreading,1738500922:BV:3300,"2025-02-02 12:55:24"
860,speedreading,1738504522:BV:3300,"2025-02-02 13:55:26"
860,speedreading,1738508122:BV:3300,"2025-02-02 14:55:26"
543,getconfigrun,success,"2025-02-02 15:00:09"
543,speedreading,1738508400:W1:5618:0~1738508400:BV:510~,"2025-02-02 15:00:09"
860,speedreading,1738511722:BV:3300,"2025-02-02 15:55:26"
613,getconfigrun,success,"2025-02-02 16:00:13"
613,speedreading,1738512000:W1:8275:0~1738512000:BV:835~,"2025-02-02 16:00:13"
528,getconfigrun,success,"2025-02-02 16:00:18"
528,speedreading,1738512000:W1:8040:0~1738512000:BV:427~,"2025-02-02 16:00:18"
528,getconfigrun,success,"2025-02-02 16:04:15"
528,speedreading,1738512240:W0:4857:33:200:0~1738512240:BV:432~,"2025-02-02 16:04:15"
655,getconfigrun,success,"2025-02-02 16:08:10"
655,speedreading,1738512480:W1:7314:0~1738512480:BV:429~,"2025-02-02 16:08:10"
625,getconfigrun,success,"2025-02-02 16:10:08"
625,speedreading,1738512600:W1:8001:0~1738512600:BV:408~,"2025-02-02 16:10:08"
625,getconfigrun,success,"2025-02-02 16:14:04"
625,speedreading,1738512840:W0:4765:33:200:0~1738512840:BV:409~,"2025-02-02 16:14:05"
543,getconfigrun,success,"2025-02-02 16:16:08"
543,speedreading,1738512960:W0:4973:0:200:0~1738512960:BV:513~,"2025-02-02 16:16:08"
613,getconfigrun,success,"2025-02-02 16:20:11"
613,speedreading,1738513200:W0:6545:0:200:0~1738513200:BV:833~,"2025-02-02 16:20:11"
860,speedreading,1738515321:BV:2662,"2025-02-02 16:55:24"
655,getconfigrun,success,"2025-02-02 17:12:09"
655,speedreading,1738516320:W0:6329:164:200:0~1738516320:BV:427~,"2025-02-02 17:12:09"
654,getconfigrun,success,"2025-02-02 17:16:06"
654,speedreading,1738516560:W1:5838:0~1738516560:BV:434~,"2025-02-02 17:16:06"
53,getconfigrun,success,"2025-02-02 17:18:11"
53,speedreading,1738516680:W1:6726:0~1738516680:BV:459~,"2025-02-02 17:18:12"
654,getconfigrun,success,"2025-02-02 17:20:05"
654,speedreading,1738516800:W0:4741:78:200:0~1738516800:BV:437~,"2025-02-02 17:20:05"
109,getconfigrun,success,"2025-02-02 17:20:06"
109,speedreading,1738516747:BV:859~,"2025-02-02 17:20:06"
109,getconfigrun,success,"2025-02-02 17:22:21"
109,speedreading,1738516936:BV:866~,"2025-02-02 17:22:21"
109,getconfigrun,success,"2025-02-02 17:24:06"
109,speedreading,1738517040:W1:5679:13~1738517040:BV:864~,"2025-02-02 17:24:06"
109,getconfigrun,success,"2025-02-02 17:28:05"
109,speedreading,1738517280:W0:4931:96:200:0~1738517280:BV:865~,"2025-02-02 17:28:06"
109,getconfigrun,success,"2025-02-02 17:45:32"
109,speedreading,1738518326:BV:865~,"2025-02-02 17:45:32"
860,speedreading,1738518922:BV:2643,"2025-02-02 17:55:25"
109,getconfigrun,success,"2025-02-02 18:00:07"
109,speedreading,1738519200:W0:6967:0:200:0~1738519200:BV:865~,"2025-02-02 18:00:08"
524,getconfigrun,success,"2025-02-02 18:00:13"
524,speedreading,1738519200:W1:5842:0~1738519200:BV:408~,"2025-02-02 18:00:14"
524,getconfigrun,success,"2025-02-02 18:04:13"
524,speedreading,1738519440:W0:5221:8:200:0~1738519440:BV:409~,"2025-02-02 18:04:13"
647,getconfigrun,success,"2025-02-02 18:10:17"
647,speedreading,1738519800:W1:5959:0~1738519800:BV:444~,"2025-02-02 18:10:17"
647,getconfigrun,success,"2025-02-02 18:14:16"
647,speedreading,1738520040:W0:4758:27:200:0~1738520040:BV:445~,"2025-02-02 18:14:16"
53,getconfigrun,success,"2025-02-02 18:21:14"
53,speedreading,1738520460:W0:8942:147:200:0~1738520460:BV:459~,"2025-02-02 18:21:14"
644,getconfigrun,success,"2025-02-02 18:30:09"
644,speedreading,1738521000:W1:5682:0~1738521000:BV:801~,"2025-02-02 18:30:09"
644,getconfigrun,success,"2025-02-02 18:36:15"
644,speedreading,1738521360:W0:11651:6:200:0~1738521360:BV:796~,"2025-02-02 18:36:16"
860,speedreading,1738522521:BV:2585,"2025-02-02 18:55:25"
860,speedreading,1738526121:BV:2566,"2025-02-02 19:55:25"
101,getconfigrun,success,"2025-02-02 20:00:05"
101,speedreading,1738526400:W1:7371:0~1738526400:BV:428~,"2025-02-02 20:00:06"
101,getconfigrun,success,"2025-02-02 20:04:03"
101,speedreading,1738526640:W0:4773:264:200:0~1738526640:BV:430~,"2025-02-02 20:04:03"
860,speedreading,1738529721:BV:2562,"2025-02-02 20:55:25"
860,speedreading,1738533321:BV:2561,"2025-02-02 21:55:25"
860,speedreading,1738536922:BV:2560,"2025-02-02 22:55:26"
860,speedreading,1738540525:BV:28671,"2025-02-02 23:55:26"
860,speedreading,1738544122:BV:2558,"2025-02-03 00:55:24"
860,speedreading,1738547722:BV:2559,"2025-02-03 01:55:25"
860,speedreading,1738551322:BV:2558,"2025-02-03 02:55:24"
848,speedreading,1738554622:BV:2617,"2025-02-03 03:50:26"
860,speedreading,1738554923:BV:2558,"2025-02-03 03:55:25"
848,speedreading,1738558222:BV:2617,"2025-02-03 04:50:24"
860,speedreading,1738558523:BV:2557,"2025-02-03 04:55:26"
848,speedreading,1738561822:BV:2618,"2025-02-03 05:50:25"
860,speedreading,1738562122:BV:2557,"2025-02-03 05:55:25"
636,getconfigrun,success,"2025-02-03 06:30:10"
636,speedreading,1738564200:W1:15453:0~1738564200:BV:456~,"2025-02-03 06:30:10"
