idMiscellaneous,subject,reading,createdat
"543","speedreading","1735743600:W1:5802:0~1735743600:BV:513~","2025-01-02 03:30:06"
"860","speedreading","1609518282:BV:3231","2025-01-02 04:25:25"
"613","getconfigrun","success","2025-01-02 04:30:11"
"613","speedreading","1735747200:W1:8554:0~1735747200:BV:832~","2025-01-02 04:30:11"
"528","getconfigrun","success","2025-01-02 04:30:18"
"528","speedreading","1735747200:W1:8625:0~1735747200:BV:430~","2025-01-02 04:30:18"
"528","getconfigrun","success","2025-01-02 04:34:16"
"528","speedreading","1735747440:W0:6040:32:200:0~1735747440:BV:432~","2025-01-02 04:34:16"
"655","getconfigrun","success","2025-01-02 04:35:08"
"655","speedreading","1735747500:W1:7695:1~1735747500:BV:430~","2025-01-02 04:35:09"
"625","getconfigrun","success","2025-01-02 04:40:08"
"625","speedreading","1735747800:W1:7951:0~1735747800:BV:409~","2025-01-02 04:40:08"
"825","speedreading","1735747892:BV:2543","2025-01-02 04:41:33"
"825","speedreading","1735747942:BV:2540","2025-01-02 04:42:23"
"825","speedreading","1735748002:BV:2541","2025-01-02 04:43:24"
"625","getconfigrun","success","2025-01-02 04:44:05"
"625","speedreading","1735748040:W0:4780:33:200:0~1735748040:BV:409~","2025-01-02 04:44:05"
"825","speedreading","1735748063:BV:2541","2025-01-02 04:44:24"
"825","speedreading","1735748123:BV:2541","2025-01-02 04:45:24"
"543","getconfigrun","success","2025-01-02 04:46:06"
"543","speedreading","1735748160:W0:5028:0:200:0~1735748160:BV:513~","2025-01-02 04:46:06"
"825","speedreading","1735748182:BV:2541","2025-01-02 04:46:23"
"613","getconfigrun","success","2025-01-02 04:50:08"
"613","speedreading","1735748400:W0:5430:0:200:0~1735748400:BV:830~","2025-01-02 04:50:08"
"825","speedreading","1735748597:BV:2539","2025-01-02 04:53:18"
"825","speedreading","1735748646:BV:2539","2025-01-02 04:54:07"
"825","speedreading","1735748672:BV:2540","2025-01-02 04:54:33"
"825","speedreading","1735748722:BV:2540","2025-01-02 04:55:23"
"825","speedreading","1735748783:BV:2540","2025-01-02 04:56:24"
"825","speedreading","1735748843:BV:2539","2025-01-02 04:57:24"
"825","speedreading","1735748903:BV:2540","2025-01-02 04:58:24"
"655","getconfigrun","success","2025-01-02 05:12:07"
"655","speedreading","1735749720:W0:6147:170:200:0~1735749720:BV:429~","2025-01-02 05:12:07"
"860","speedreading","1609521882:BV:2740","2025-01-02 05:25:24"
"53","getconfigrun","success","2025-01-02 05:30:32"
"53","speedreading","1735750800:W1:6612:0~1735750800:BV:457~","2025-01-02 05:30:33"
"109","getconfigrun","success","2025-01-02 05:38:27"
"109","getconfigrun","success","2025-01-02 05:38:54"
"109","getconfigrun","success","2025-01-02 05:39:11"
"109","speedreading","946686293:BV:832~946686375:TD:789064971~946686375:BV:833~","2025-01-02 05:39:11"
"109","getconfigrun","success","2025-01-02 05:39:22"
"109","speedreading","1735751356:BV:833~","2025-01-02 05:39:22"
"109","getconfigrun","success","2025-01-02 05:39:29"
"109","speedreading","1735751367:BV:832~","2025-01-02 05:39:30"
"109","getconfigrun","success","2025-01-02 05:40:14"
"109","speedreading","1735751408:W1:5785:0~1735751408:BV:833~","2025-01-02 05:40:14"
"825","speedreading","1735751423:BV:26623","2025-01-02 05:40:24"
"825","speedreading","1735751484:BV:2536","2025-01-02 05:41:25"
"825","speedreading","1735751542:BV:2535","2025-01-02 05:42:23"
"825","speedreading","1735751602:BV:2535","2025-01-02 05:43:24"
"109","getconfigrun","success","2025-01-02 05:44:05"
"109","speedreading","1735751640:W0:4816:0:200:0~1735751640:BV:835~","2025-01-02 05:44:06"
"825","speedreading","1735751663:BV:2535","2025-01-02 05:44:24"
"109","getconfigrun","success","2025-01-02 05:45:07"
"109","speedreading","1735751702:BV:837~","2025-01-02 05:45:07"
"825","speedreading","1735751723:BV:2535","2025-01-02 05:45:25"
"825","speedreading","1735751782:BV:2534","2025-01-02 05:46:23"
"825","speedreading","1735751842:BV:2534","2025-01-02 05:47:24"
"825","speedreading","1735751903:BV:2534","2025-01-02 05:48:24"
"825","speedreading","1735751963:BV:2533","2025-01-02 05:49:24"
"825","speedreading","1735752024:BV:2534","2025-01-02 05:50:25"
"825","speedreading","1735752082:BV:2533","2025-01-02 05:51:23"
"825","speedreading","1735752142:BV:2533","2025-01-02 05:52:24"
"825","speedreading","1735752203:BV:2534","2025-01-02 05:53:24"
"825","speedreading","1735752263:BV:2533","2025-01-02 05:54:25"
"825","speedreading","1735752322:BV:2533","2025-01-02 05:55:23"
"825","speedreading","1735752382:BV:2532","2025-01-02 05:56:23"
"825","speedreading","1735752443:BV:2533","2025-01-02 05:57:24"
"825","speedreading","1735752503:BV:2532","2025-01-02 05:58:24"
"825","speedreading","1735752562:BV:2532","2025-01-02 05:59:23"
"53","getconfigrun","success","2025-01-02 06:10:34"
"53","speedreading","1735753200:W0:8728:148:200:0~1735753200:BV:458~","2025-01-02 06:10:35"
"860","speedreading","1735754122:BV:2666","2025-01-02 06:25:26"
"654","getconfigrun","success","2025-01-02 06:30:06"
"654","speedreading","1735754400:W1:5894:0~1735754400:BV:440~","2025-01-02 06:30:06"
"524","getconfigrun","success","2025-01-02 06:30:13"
"524","speedreading","1735754400:W1:5959:0~1735754400:BV:408~","2025-01-02 06:30:13"
"654","getconfigrun","success","2025-01-02 06:34:05"
"654","speedreading","1735754640:W0:4927:14:200:0~1735754640:BV:441~","2025-01-02 06:34:05"
"524","getconfigrun","success","2025-01-02 06:34:15"
"524","speedreading","1735754640:W0:7940:9:200:0~1735754640:BV:409~","2025-01-02 06:34:15"
"647","getconfigrun","success","2025-01-02 06:35:15"
"647","speedreading","1735754700:W1:5708:0~1735754700:BV:446~","2025-01-02 06:35:15"
"647","getconfigrun","success","2025-01-02 06:39:15"
"647","speedreading","1735754940:W0:5749:0:200:0~1735754940:BV:447~","2025-01-02 06:39:15"
"825","speedreading","1735755022:BV:2523","2025-01-02 06:40:23"
"825","speedreading","1735755082:BV:2523","2025-01-02 06:41:24"
"825","speedreading","1735755143:BV:2522","2025-01-02 06:42:24"
"825","speedreading","1735755203:BV:2523","2025-01-02 06:43:25"
"825","speedreading","1735755262:BV:2522","2025-01-02 06:44:23"
"825","speedreading","1735755322:BV:2522","2025-01-02 06:45:23"
"825","speedreading","1735755383:BV:2522","2025-01-02 06:46:24"
"825","speedreading","1735755443:BV:2522","2025-01-02 06:47:24"
"825","speedreading","1735755503:BV:2521","2025-01-02 06:48:25"
"825","speedreading","1735755562:BV:2521","2025-01-02 06:49:23"
"825","speedreading","1735755622:BV:2520","2025-01-02 06:50:23"
"825","speedreading","1735755683:BV:2521","2025-01-02 06:51:24"
"825","speedreading","1735755743:BV:2519","2025-01-02 06:52:24"
"825","speedreading","1735755803:BV:2519","2025-01-02 06:53:25"
"825","speedreading","1735755862:BV:2519","2025-01-02 06:54:23"
"825","speedreading","1735755922:BV:2518","2025-01-02 06:55:24"
"825","speedreading","1735755983:BV:2518","2025-01-02 06:56:24"
"825","speedreading","1735756043:BV:2518","2025-01-02 06:57:25"
"825","speedreading","1735756102:BV:2517","2025-01-02 06:58:23"
"825","speedreading","1735756162:BV:2517","2025-01-02 06:59:24"
"109","getconfigrun","success","2025-01-02 06:59:31"
"109","speedreading","1735756166:BV:843~","2025-01-02 06:59:31"
"644","getconfigrun","success","2025-01-02 07:00:09"
"644","speedreading","1735756200:W1:5682:0~1735756200:BV:805~","2025-01-02 07:00:09"
"109","getconfigrun","success","2025-01-02 07:01:09"
"109","speedreading","1735756260:W1:8392:250~1735756260:BV:836~","2025-01-02 07:01:09"
"644","getconfigrun","success","2025-01-02 07:06:15"
"644","speedreading","1735756560:W0:11652:0:200:0~1735756560:BV:801~","2025-01-02 07:06:15"
"109","getconfigrun","success","2025-01-02 07:06:21"
"109","speedreading","1735756500:E2:10206~1735756500:W0:10145:191:1201:6~1735756500:BV:840~1735756576:BV:840~","2025-01-02 07:06:21"
"109","getconfigrun","success","2025-01-02 07:21:46"
"109","speedreading","1735757500:BV:842~","2025-01-02 07:21:46"
"109","getconfigrun","success","2025-01-02 07:23:06"
"109","speedreading","1735757580:W1:5669:0~1735757580:BV:841~","2025-01-02 07:23:06"
"860","speedreading","1735757723:BV:2596","2025-01-02 07:25:25"
"109","getconfigrun","success","2025-01-02 07:27:05"
"109","speedreading","1735757820:W0:4884:71:200:0~1735757820:BV:841~","2025-01-02 07:27:06"
"860","speedreading","1735761323:BV:2569","2025-01-02 08:25:25"
"825","speedreading","1735762222:BV:2468","2025-01-02 08:40:23"
"825","speedreading","1735762282:BV:2467","2025-01-02 08:41:23"
"825","speedreading","1735762343:BV:2467","2025-01-02 08:42:24"
"825","speedreading","1735762403:BV:2466","2025-01-02 08:43:24"
"825","speedreading","1735762462:BV:2465","2025-01-02 08:44:23"
"825","speedreading","1735762522:BV:2465","2025-01-02 08:45:24"
"825","speedreading","1735762582:BV:2464","2025-01-02 08:46:23"
"825","speedreading","1735762642:BV:2464","2025-01-02 08:47:23"
"825","speedreading","1735762703:BV:2464","2025-01-02 08:48:24"
"825","speedreading","1735762763:BV:2463","2025-01-02 08:49:24"
"825","speedreading","1735762822:BV:2462","2025-01-02 08:50:23"
"825","speedreading","1735762882:BV:2462","2025-01-02 08:51:23"
"825","speedreading","1735762942:BV:2460","2025-01-02 08:52:24"
"825","speedreading","1735763003:BV:2460","2025-01-02 08:53:24"
"825","speedreading","1735763063:BV:2460","2025-01-02 08:54:25"
"825","speedreading","1735763122:BV:2459","2025-01-02 08:55:23"
"825","speedreading","1735763182:BV:2458","2025-01-02 08:56:24"
"825","speedreading","1735763243:BV:2458","2025-01-02 08:57:24"
"825","speedreading","1735763362:BV:2456","2025-01-02 08:59:24"
"860","speedreading","1735764922:BV:2561","2025-01-02 09:25:24"
"825","speedreading","1735765823:BV:2430","2025-01-02 09:40:24"
"825","speedreading","1735765882:BV:2429","2025-01-02 09:41:23"
"825","speedreading","1735765942:BV:2428","2025-01-02 09:42:23"
"825","speedreading","1735766002:BV:2427","2025-01-02 09:43:23"
"825","speedreading","1735766062:BV:2427","2025-01-02 09:44:24"
"825","speedreading","1735766123:BV:2427","2025-01-02 09:45:24"
"825","speedreading","1735766183:BV:2425","2025-01-02 09:46:25"
