idSchedule,startdate,duration,time,schdchange,onoff,weather
118,2025-01-07,4,17:35:00,0,1,0
119,2025-01-07,4,17:40:00,0,NULL,NULL
120,2025-01-07,4,17:48:00,0,NULL,NULL
121,2025-01-08,4,10:08:00,0,NULL,NULL
122,2025-01-08,4,10:10:00,0,NULL,NULL
123,2025-01-08,4,10:29:00,0,NULL,NULL
124,2025-01-08,4,10:34:00,0,NULL,NULL
125,2025-01-08,4,10:45:00,0,NULL,NULL
126,2025-01-08,4,10:50:00,0,NULL,NULL
127,2025-01-08,4,10:59:00,0,NULL,NULL
128,2025-01-08,4,11:08:00,0,NULL,NULL
129,2025-01-08,4,11:48:00,0,NULL,NULL
130,2025-01-08,4,11:27:00,0,NULL,NULL
501,2022-12-17,10,14:53:00,0,1,0
503,2024-03-18,15,06:55:00,0,1,0
505,2024-11-20,19,15:00:00,0,1,0
512,2024-08-03,4,18:09:00,0,1,0
513,2024-05-10,4,19:55:00,0,0,0
515,2022-12-26,1,10:13:00,0,1,0
516,2023-03-09,40,19:15:00,0,1,0
520,2023-05-18,40,07:00:00,0,1,0
521,2023-01-20,2,17:02:20,0,1,1
522,2024-07-24,4,10:20:00,0,1,0
524,2024-08-20,4,18:00:00,0,1,0
525,2023-03-25,8,07:45:00,0,1,0
526,2023-01-12,2,17:15:46,1,1,0
528,2024-11-16,4,16:00:00,0,1,0
529,2023-05-19,39,16:45:00,0,1,0
530,2023-05-18,40,18:15:00,0,1,0
531,2024-02-08,32,07:36:00,0,1,0
533,2023-05-18,40,17:30:00,0,1,0
534,2025-02-12,4,10:46:00,1,NULL,NULL
536,2023-03-21,4,10:17:00,4,1,0
539,2024-11-06,25,11:00:00,0,1,0
540,2023-11-27,30,11:12:00,0,1,0
541,2024-08-23,4,11:27:00,0,0,0
542,2024-09-24,13,10:00:00,0,1,0
543,2024-03-09,76,15:00:00,0,1,0
545,2024-02-28,4,16:04:00,1,1,0
546,2024-05-17,10,06:35:00,4,1,0
600,2024-01-18,4,12:56:00,0,1,0
601,2023-05-19,40,08:00:00,0,1,0
602,2023-08-31,4,09:23:00,0,1,0
603,2023-03-21,4,19:08:00,0,NULL,NULL
604,2023-09-23,4,17:51:00,0,1,0
605,2023-04-20,40,08:45:00,0,1,0
606,2024-03-01,47,09:00:00,0,1,0
607,2023-03-29,4,10:32:00,0,NULL,NULL
